numMC,PL,callday, maxloss,,-0.11%,0.864%
117,0.0109875,913,-0.00179434,,,
118,0.00131085,183,-0.000448555,,,
119,-0.00101399,1097,-0.00167394,,,
120,-0.00428963,183,-0.0043026,,,
121,-0.0067921,913,-0.0107653,,,
122,-0.00436612,1097,-0.00436612,,,
123,0.000889198,367,-0.00179541,,,
124,0.000941744,183,-0.000860632,,,
125,0.0005094,183,-0.0019851,,,
126,-0.00109597,183,-0.00112444,,,
127,-0.00708664,548,-0.00732965,,,
128,-0.00196329,367,-0.00709908,,,
129,-0.000347126,732,-0.00249081,,,
130,-0.000847723,183,-0.00169855,,,
131,0.0025094,367,-0.00208943,,,
132,-0.00121125,183,-0.00365422,,,
133,-0.0233611,1097,-0.0237863,,,
134,8.92E-06,548,-0.00619887,,,
135,-0.00618375,183,-0.00618375,,,
136,0.00504478,548,-0.000364397,,,
137,0.00200755,183,-0.000704401,,,
138,0.00174254,1097,-0.000353926,,,
139,0.00370868,1097,-0.0098565,,,
140,-0.00258181,183,-0.00437784,,,
141,0.00186955,183,-0.00116685,,,
142,-0.00674054,1097,-0.0067985,,,
143,0.00149797,183,-0.000265433,,,
144,-0.000244313,183,-0.0011912,,,
145,0.00155813,183,-0.000470749,,,
146,0.00136651,183,-0.00458135,,,
147,-0.00103496,183,-0.00179522,,,
148,-0.00119634,183,-0.00171542,,,
149,-0.0356521,548,-0.0374556,,,
150,0.034025,548,-0.00790967,,,
151,0.0108034,183,-0.00011217,,,
152,0.00324534,183,-0.000837633,,,
153,0.00137887,183,-0.00151435,,,
154,-0.00300568,367,-0.00459291,,,
155,-0.0038761,183,-0.00397836,,,
156,0.00188018,183,-0.000305316,,,
157,-0.011918,183,-0.011918,,,
158,-0.000503086,183,-0.00218812,,,
159,0.000743592,367,-0.00118828,,,
160,0.00169192,183,0,,,
161,-0.00103248,183,-0.00125663,,,
162,0.00538455,367,-0.000468382,,,
163,0.000896554,183,-0.00162043,,,
164,0.00119334,183,-0.000504985,,,
165,-0.000944573,183,-0.00105856,,,
166,0.00219299,183,-0.00044959,,,
167,0.00114671,732,-0.0057371,,,
168,-0.0089824,1097,-0.0101492,,,
169,-1.42E-05,183,-0.00100348,,,
170,-0.01123,1097,-0.0113547,,,
171,0.00373078,367,-0.000418271,,,
172,-0.00318602,183,-0.00342949,,,
173,0.00282456,183,-0.000688215,,,
174,-0.000318584,183,-0.00130303,,,
175,-0.00114716,183,-0.00194095,,,
176,-0.0034233,548,-0.00657759,,,
177,0.000910645,183,-0.000426657,,,
178,0.00392631,183,-0.00177336,,,
179,0.00440421,183,-0.00172673,,,
180,0.00265246,183,-0.000128368,,,
181,0.00473838,1097,-0.0136615,,,
182,-0.0035285,367,-0.0035285,,,
183,0.00384031,548,-0.00183329,,,
184,0.000319301,183,-3.19E-05,,,
185,-0.000211987,183,-0.00166602,,,
186,0.00301115,183,-0.00215285,,,
187,-0.000930916,183,-0.00312144,,,
188,0.000573456,183,-0.000928085,,,
189,-0.00439792,1097,-0.00534622,,,
190,-0.00196689,183,-0.00369818,,,
191,-0.00555328,183,-0.00555328,,,
192,-0.00162941,183,-0.00167111,,,
193,0.0111422,913,-0.0022684,,,
194,-0.00664166,183,-0.00664166,,,
195,-0.000628215,367,-0.00158196,,,
196,0.00442575,183,0,,,
197,0.00117012,183,-0.000254132,,,
198,0.000479721,183,-0.000209628,,,
199,-0.000811883,367,-0.00262592,,,
200,-0.00130093,183,-0.00237011,,,
201,0.00122867,1097,-0.00107125,,,
202,-0.0379978,1097,-0.0379978,,,
203,0.00840371,183,-2.53E-05,,,
